,category,short_description,date
0,QUEER VOICES,antigay hoax reach mainstream media recently december gay new jersey waitress former,2014-02-15
1,MEDIA,,2014-07-28
2,MEDIA,mistakes bound happen news business worse others,2015-12-18
3,QUEER VOICES,buckle ladies,2016-05-08
4,QUEER VOICES,get sneak peek day forward,2016-06-16
5,QUEER VOICES,august 25 feds shut rentboycom declaring internet brothel website founded 1996,2015-12-15
6,MEDIA,conservative figure reads hate mail reality tv stars supporters,2015-08-10
7,MEDIA,merry christmas camp,2018-04-06
8,MEDIA,desire part vatican cause part media circus,2015-09-30
9,QUEER VOICES,desmond napoles one many creative thinkers celebrated june,2018-02-21
10,MEDIA,says hell romney thats trump wants,2016-12-01
11,MEDIA,many see decision hawkish departure presidents america first pledge,2017-04-07
12,MEDIA,week charlie hebdo massacre paris american comedians made clear stand fellow satirists france others joined condemnation well comedy,2015-01-15
13,QUEER VOICES,lgbtq pride month began means us fight basic human rights,2017-06-15
14,QUEER VOICES,president obamas election victory historic gay rights wins across nation tragedies connecticut,2013-01-01
15,MEDIA,,2015-01-09
16,QUEER VOICES,men aim prove love always wins hate,2017-06-21
17,QUEER VOICES,brody jenner opening relationship caitlyn jenner stands today growing didnt really,2015-07-08
18,QUEER VOICES,feel like fighting back today dont,2017-02-25
19,QUEER VOICES,us run antigay bigots absolutely insist many gay friends though many choke word,2013-03-23
20,MEDIA,fox news cbn news two peas propaganda pod,2017-08-22
21,MEDIA,new york times magazine editor defended description though acknowledged journalists contacted comment,2016-05-09
22,MEDIA,newsrooms across chicago country made varying decisions airing recently released laquan mcdonald shooting,2015-11-25
23,QUEER VOICES,315 morning thighs burning dancing head group friends harbor,2017-07-13
24,MEDIA,talk building wall talk banning muslims doesnt effect children journalist cokie roberts asked,2016-03-09
25,MEDIA,morning joe host discussed president trumps varied response texas shooting last weeks new york terrorist attack,2017-11-06
26,QUEER VOICES,want sing songs women loving thousands people walk away feeling like theyre amazing allies,2017-11-07
27,QUEER VOICES,galavis certainly first celebrity make offensive comments gay community galavis 18th man,2014-01-18
28,QUEER VOICES,look deborah cox patti labelle performing boys showing laughs hope know,2017-06-10
29,QUEER VOICES,mounir mahjoubi hopes experience inspire lgbtq people,2018-05-21
30,MEDIA,soninlaw top adviser jared kushner reportedly approached firm specializing media deals,2016-10-17
31,MEDIA,law360 giving employees antiunion treatment,2016-08-03
32,MEDIA,,2014-06-08
33,MEDIA,good opportunity throw kitchen sink,2015-09-22
34,MEDIA,,2014-06-29
35,MEDIA,fox news says geller standing radical islam also mean geller others arent aware biggest arms dealer middle eastern nations united states sadly rightwing blogosphere never correlates geopolitical realities dire warnings islam,2015-06-12
36,QUEER VOICES,anglican cleric said disheartened learn ugandan president yoweri museveni intended sign bill,2014-02-23
37,MEDIA,donald trump covered russian stooge fired honest american public servant,2017-05-09
38,QUEER VOICES,reality bullying school environments related outcomes long way go lesbian gay bisexual students distance even transgender students need discussion,2012-07-14
39,QUEER VOICES,randy phillips uploaded first video youtube knew would change life foreverhe didnt know,2012-02-04
40,QUEER VOICES,,2014-08-16
41,QUEER VOICES,taken children playdates witness palpable growing disappointment parents realize fact harrisburtka family sweetly names hyphenate try hyphenating vigoritohorowitz straight face,2013-08-04
42,QUEER VOICES,time queer kid stuff,2017-07-31
43,MEDIA,onetime favorite magazine going way dodo bird whats become time cut loose corporate tether tied soughtafter prize,2014-08-31
44,QUEER VOICES,,2013-11-29
45,QUEER VOICES,,2014-08-29
46,QUEER VOICES,,2014-06-23
47,QUEER VOICES,discussion whether bruce jenner transitioning feeling simultaneously hopeful deeply uncomfortable uncomfortable daughter transparent tabloid tone ridicule speculation presented recalls cruel words heard behind back growing,2015-04-24
48,QUEER VOICES,night cant help offer two cents asshole whose blatantly antisemitic homophobic slurs begin radiate throughout space calmly coolly drinking semilocal brew night,2014-03-15
49,QUEER VOICES,100 apples teenage boy learns face true self,2016-08-06
50,QUEER VOICES,,2012-03-10
51,MEDIA,list names,2016-06-14
52,QUEER VOICES,atta girl,2016-08-24
53,QUEER VOICES,latest episode logos new digital series elevating stories transgender gendernonconforming youth,2015-11-11
54,QUEER VOICES,thankful listened,2017-06-25
55,QUEER VOICES,prompted question kim burrells hate speech,2017-01-09
56,QUEER VOICES,aclu views executive order single important step president obama could take year eradicate antilgbt discrimination american workplaces chorus voices calling executive order grows louder day,2012-03-10
57,MEDIA,candidates say things matters much whether stuck facts,2016-10-22
58,QUEER VOICES,weekend siriusxm airing documentary special produced profiles five straight allies individual journeys people may heard like zach wahls others may new powerful compelling stories,2012-10-13
59,QUEER VOICES,love compassion found waves different dolphin,2016-11-17
60,QUEER VOICES,jason cook parent advocate raiseachildus nonprofit organization believes children deserve safe loving,2013-11-29
61,QUEER VOICES,lgbtq community cleo manago dangerous demagogue tens thousands africanamerican brothers generous funders hes seen brother driven dream hes perhaps dangerous hes effecting change,2012-02-18
62,QUEER VOICES,statements made rightwing pundits talk show gaffes hollywood celebrities never seems shortage,2012-04-01
63,QUEER VOICES,,2014-07-04
64,QUEER VOICES,americas next top model star isis king took new york fashion week storm week presenting goldest winter ever,2013-02-16
65,QUEER VOICES,coloradobased lesbian mom breaking new ground becoming first woman allowed file paternity suit state,2012-05-06
66,QUEER VOICES,let break disability requiring sexy wheels two truths become apparent,2015-01-13
67,QUEER VOICES,ray rico said confronted driver two separate occasions,2016-08-01
68,MEDIA,doesnt stand stand strong performance dont know republican establishment,2015-09-17
69,MEDIA,new york times new yorker jointly coverage sexual assault hollywood,2018-04-16
70,MEDIA,media normalized trump conveniently turned something different,2017-05-02
71,QUEER VOICES,queer everybody,2016-06-09
72,QUEER VOICES,lefou wasnt written lgbtq community encoded heterosexual gaze,2017-03-19
